Date,High,Low,Open,Close,Volume,Adj Close,5_p,10_p,20_p,50_p,WVAP_1,WVAP_2,RSI,12,26,MACD,Signal
2020-07-10,59.69,57.83,57.95,59.53,17742300,59.53,58.882,58.795,59.279,60.26,59.306,60.114,56.439,59.103,59.605,-0.502,-0.497
2020-07-13,60.62,58.39,59.84,58.58,19082900,58.58,58.69,58.903,59.242,60.232,59.276,60.082,56.87,59.022,59.529,-0.507,-0.499
2020-07-14,59.25,57.35,57.87,58.98,24190900,58.98,58.824,58.974,59.186,60.262,59.21,60.058,54.74,59.016,59.489,-0.473,-0.494
2020-07-15,59.34,58.42,59.03,59.03,19986300,59.03,58.908,58.894,59.117,60.283,59.144,60.059,43.311,59.018,59.455,-0.437,-0.482
2020-07-16,59.36,58.4,58.54,59.14,12425900,59.14,59.052,58.927,59.05,60.291,59.085,60.118,53.254,59.037,59.431,-0.394,-0.465
2020-07-17,60.46,59.28,59.42,60,16322800,60,59.146,59.014,59.045,60.307,59.063,60.117,57.754,59.185,59.473,-0.288,-0.43
2020-07-20,61.38,59.34,60.08,61.15,16868700,61.15,59.66,59.175,59.122,60.347,59.067,60.157,62.677,59.487,59.598,-0.11,-0.366
2020-07-21,61.93,60.44,61.52,60.7,19830300,60.7,60.004,59.414,59.153,60.367,59.089,60.199,71.454,59.674,59.679,-0.005,-0.294
2020-07-22,61.77,60.62,61.31,61.05,18959900,61.05,60.408,59.658,59.209,60.386,59.134,60.225,71.708,59.886,59.781,0.105,-0.214
2020-07-23,61.74,59.98,61.26,60.4,43518600,60.4,60.66,59.856,59.275,60.426,59.267,60.263,66.283,59.965,59.827,0.138,-0.144
2020-07-24,52.18,49.5,52.15,50.59,182269900,50.59,58.778,58.962,58.879,60.283,56.588,59.055,19.756,58.522,59.142,-0.62,-0.239
2020-07-27,51.14,49.47,51.03,49.57,107526500,49.57,56.462,58.061,58.482,60.093,55.379,58.393,19.663,57.145,58.433,-1.288,-0.449
2020-07-28,50.23,49.14,49.48,49.24,62362600,49.24,54.17,57.087,58.031,59.912,54.735,58.053,17.05,55.929,57.752,-1.823,-0.724
2020-07-29,49.5,47.9,49.49,48.07,60500800,48.07,51.574,55.991,57.443,59.675,53.954,57.691,15.535,54.72,57.035,-2.315,-1.042
2020-07-30,48.5,47.59,47.83,47.99,39735200,47.99,49.092,54.876,56.902,59.429,53.541,57.451,14.871,53.685,56.365,-2.681,-1.37
2020-07-31,48.32,46.97,48.13,47.73,46569900,47.73,48.52,53.649,56.332,59.121,53.081,57.169,9.823,52.768,55.726,-2.957,-1.687
2020-08-03,48.63,47.74,48.27,48.3,31746200,48.3,48.266,52.364,55.77,58.848,52.721,56.989,6.263,52.081,55.175,-3.094,-1.969
,,,,,,,,,,,,,,,,,
Data Aggregation (Drill Up),,,,,,,,,,,,,,,,,
2020-01-31,65.98,63.67,65.8,63.93,25268400,63.259,65.946,64.44,61.909,,63.026,,62.566,64.096,62.604,1.492,0.989
2020-02-28,56.38,53.6,54.3,55.52,60728000,55.208,58.498,62.28,64.288,,62.694,,6.999,61.451,62.891,-1.439,-0.006
2020-03-31,55.8,53.22,55.06,54.12,48074700,53.816,53.756,51.014,51.635,59.07,51.081,57.213,58.452,52.405,53.87,-1.465,-2.553
2020-04-30,61.54,59.75,61.37,59.98,26256000,59.643,59.852,59.43,58.738,55.915,58.733,55.946,47.344,59.28,58.011,1.268,1.161
2020-05-29,63.66,61.62,61.9,62.93,33395700,62.93,62.558,61.636,60.197,57.862,60.352,55.42,66.871,61.514,60.285,1.229,1.011
2020-06-30,59.98,58.54,58.71,59.83,31542100,59.83,58.64,59.34,60.638,60.308,60.416,59.993,45.512,59.526,60.104,-0.577,-0.294
2020-07-31,48.32,46.97,48.13,47.73,46569900,47.73,48.52,53.649,56.332,59.121,53.081,57.169,9.823,52.768,55.726,-2.957,-1.687
